"GEOID","year","population","male","female","male_ratio","norm_age_0_19","norm_age_20_69","norm_age_70_plus","race_diversity","unemployment_rate","median_income","mean_income","PercFamiliesBelowPovertyline","HU_occupied_perc","rent_rate","HU_avg_HHsize_owner","HU_avg_HHsize_renter","YB_before_1979_pct","YB_1980_2019_pct","dummy_BY_thredhold50perc"
6037195400,2010,4354,2565,1789,58.9113458888379,11.9,80.2,7.8,53.7117068682086,6.8,67255,90800,6.6,95.7,53.9909946786738,2.3,1.52,79.9097065462754,20.0902934537246,0
6037183820,2010,3504,1793,1711,51.1700913242009,40,56.3,3.4,54.6845516409166,9,41250,48784,31.2,86.4,69.1762621789194,3.63,3.58,79.3286219081272,20.6713780918728,0
6037185100,2010,6609,3697,2912,55.9388712361931,19.8,72.5,7.9,60.9487820899075,5,71591,97358,8.8,93.3,32.9156223893066,2.78,2.49,90.103000447828,9.89699955217197,0
6037185202,2010,3801,1880,1921,49.4606682451986,26,67.7,6.3,63.4740258953718,5.2,46365,67220,14.8,91.3,47.6584022038567,2.76,2.97,78.4558823529412,21.5441176470588,0
6037185310,2010,3380,1747,1633,51.6863905325444,33.7,60.4,5.9,52.0800917334827,2,40915,48364,22.5,97,71.5217391304348,3.86,3.76,91.1214953271028,8.8785046728972,0
6111007405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6111007511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6037601402,2010,4909,2489,2420,50.7027907924221,30.4,65.3,4.4,62.7044642727836,3.4,48721,58479,9.5,100,41.7081850533808,3.73,3.17,94.017094017094,5.98290598290598,0
6037601502,2010,3284,1642,1642,50,34.6,60.9,4.5,50.4804789322905,5.3,35734,40924,28.5,100,63.5212888377445,4.41,3.41,79.3302540415704,20.6697459584296,0
6037601600,2010,4773,2372,2401,49.6962078357427,36.8,60.9,2.3,45.7783145284059,5.5,34043,42942,31.4,100,64.0610104861773,4.5,4.58,98.2970671712394,1.70293282876064,0
6037530700,2010,2067,1129,938,54.6202225447509,32.1,65.9,2,51.5087575415642,10.7,52250,55331,20,89.4,56.7924528301887,3.8,4.68,98.7202925045704,1.27970749542962,0
6037530801,2010,6189,3219,2970,52.0116335433834,42,53.7,4.2,52.562825423671,5.5,35303,43059,25.6,91.8,55.3719008264463,3.88,4.55,94.2019099590723,5.79809004092769,0
6037530901,2010,3855,2075,1780,53.8261997405966,41,57.1,1.8,47.8243997301667,8.1,36150,73045,19.5,89.5,59.1386554621849,4.69,4.44,96.7706013363029,3.2293986636971,0
