"","offense_against","offense_group","offense_type","n_mean","n_max","n_min","n_sd","crime_rate_mean","crime_rate_max","crime_rate_min","crime_rate_sd"
"1","other","all other offenses","all other offenses",70.4592964824121,482,2,51.2069331391428,37.2523940422296,11800,0.29244041526539,406.881357539579
"2","persons","assault offenses","aggravated assault",125.293881644935,2133,2,134.525885046963,63.1258834793883,16000,0.29244041526539,603.681618481483
"3","persons","assault offenses","intimidation",78.9168336673347,642,1,52.0582200234547,35.625182941517,9200,0.146220207632695,312.129096585005
"4","persons","assault offenses","simple assault",302.063,3948,2,276.827655015863,150.731836432795,45200,0.342759211653813,1518.25824333798
"5","persons","homicide offenses","murder and nonnegligent manslaughter",5.45386904761905,42,1,4.91546571445468,3.04942125832871,800,0.0834933622776989,32.0554804726573
"6","persons","homicide offenses","negligent manslaughter",1.57142857142857,2,1,0.534522483824849,0.441479168886481,0.806451612903226,0.20669698222406,0.193707366545354
"7","persons","human trafficking","human trafficking, commercial sex acts",4.11888111888112,96,1,8.95331358165241,1.04567183115185,23.4089246525238,0.13319126265317,2.2292112410072
"8","persons","human trafficking","human trafficking, involuntary servitude",2.0327868852459,15,1,1.99972675729089,0.758501522299406,14.7058823529412,0.0834933622776989,1.88533377335702
"9","persons","kidnapping/abduction","kidnapping/abduction",5.68757126567845,34,1,4.84678428991464,3.00166074334415,1000,0.150398556173861,34.4261106230131
"10","persons","sex offenses","fondling",11.1190965092402,179,1,11.7796742044388,6.40494470183426,2600,0.133067198935462,84.3163026523527
"11","persons","sex offenses","rape (except statutory rape)",16.2598584428716,196,1,15.3812618129885,10.1210464411018,4000,0.183150183150183,130.823727166905
"12","persons","sex offenses","sexual assault with an object",11.238683127572,96,1,9.04085164517338,5.45310467238231,1800,0.163559044815178,59.1902810207125
"13","persons","sex offenses","sodomy",3.87114845938375,23,1,3.20285322882869,2.58922713449246,600,0.125376128385155,26.2887376179602
"14","persons","sex offenses, nonforcible","incest",1.08333333333333,2,1,0.288675134594813,0.237772993195309,0.54525627044711,0.125376128385155,0.108439584711402
"15","property","arson","arson",4.36964504283966,36,1,3.97485466454349,3.08202866105213,800,0.0826446280991736,34.6072519078052
"16","property","bad checks (except counterfeit checks or forged checks)","bad checks (except counterfeit checks or forged checks)",1.71428571428571,15,1,1.42787044796526,0.475118926064638,6.59340659340659,0.125376128385155,0.580267955868354
"17","property","bribery","bribery",1.10714285714286,2,1,0.314970394174356,0.309302736100878,0.699056274030059,0.111769308147983,0.15218467489698
"18","property","burglary/breaking & entering","non-residential burglary/breaking & entering",49.2786720321932,466,1,52.8157965613695,43.4598217887919,15400,0.193948797517455,596.808470285594
"19","property","burglary/breaking & entering","residential burglary/breaking & entering",108.522088353414,458,2,70.160680723996,33.4922301538719,3600,0.584880830530779,119.133928437459
"20","property","counterfeiting/forgery","counterfeiting/forgery",22.8169014084507,177,1,19.4284567212718,9.85731433234028,2400,0.146220207632695,80.6785339932826
"21","property","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)",190.389167502508,1276,4,121.995634110311,134.703107688992,62600,0.584880830530779,2027.13275635939
"22","property","embezzlement","embezzlement",8.70639899623588,740,1,35.6016362577275,4.25145113942106,678.767876787679,0.0834933622776989,31.9394512927053
"23","property","extortion/blackmail","extortion/blackmail",3.15133171912833,18,1,2.29784709123073,1.42900946269492,222.222222222222,0.147732309055991,10.565656066418
"24","property","fraud offenses (except counterfeiting/forgery and bad checks)","credit card/automated teller machine fraud",2.50635593220339,38,1,3.18568351753475,1.35599308525506,222.222222222222,0.0834933622776989,11.0707157128815
"25","property","fraud offenses (except counterfeiting/forgery and bad checks)","false pretenses/swindle/confidence game",15.2452261306533,192,1,12.340416528819,5.9174935739379,800,0.336587007741501,34.2102333044542
"26","property","fraud offenses (except counterfeiting/forgery and bad checks)","impersonation",117.051102204409,369,1,59.5090613177888,39.4314678376909,4400,0.342759211653813,160.328733590718
"27","property","fraud offenses (except counterfeiting/forgery and bad checks)","wire fraud",2.40657439446367,11,1,1.82769708461333,1.43883882324871,400,0.139625802848366,16.7918581597071
"28","property","larceny/theft offenses","all other larceny",232.224,4651,1,289.451536558395,156.248814080012,61400,0.180733779143322,2083.97906383284
"29","property","larceny/theft offenses","pocket-picking",3.1692789968652,47,1,6.00703438121808,3.63245751855748,800,0.132415254237288,45.005301274433
"30","property","larceny/theft offenses","purse-snatching",2.31736526946108,20,1,2.33775059497616,1.06228658872469,200,0.0826446280991736,9.03080178514048
"31","property","larceny/theft offenses","shoplifting",62.1885913853318,2359,1,187.978205874186,25.4818890886662,5647.05882352941,0.156201187129022,203.013950153489
"32","property","larceny/theft offenses","theft from building",1.21739130434783,3,1,0.487786815183039,0.624189144475988,29.4117647058824,0.12639029322548,3.03907956995078
"33","property","larceny/theft offenses","theft from coin-operated machine or device",1.46411483253589,4,1,0.727154825739502,0.406133614362769,1.54083204930663,0.111769308147983,0.2553832566916
"34","property","larceny/theft offenses","theft from motor vehicle (except theft of motor vehicle parts or accessories)",235.80980980981,2232,1,166.606432259996,375.259969260841,288400,0.478697941598851,9130.95263417685
"35","property","motor vehicle theft","motor vehicle theft",148.964929859719,832,2,98.4222158369535,96.3387698194677,31333.3333333333,0.584880830530779,1172.55265572491
"36","property","robbery","commercial robbery",24.0313901345291,337,1,30.8857116503475,8.96867628101009,1555.55555555556,0.165180046250413,56.1275241220506
"37","property","robbery","other robbery",1.90654205607477,15,1,1.78955084080839,1.72810545337159,200,0.0834933622776989,13.9209316928171
